 558: max:0.714, min:0.571, mean:0.659
 559: max:0.714, min:0.536, mean:0.655
 560: max:0.714, min:0.571, mean:0.667
 561: max:0.714, min:0.500, mean:0.661
 562: max:0.714, min:0.536, mean:0.655
 563: max:0.714, min:0.500, mean:0.650
 564: max:0.714, min:0.536, mean:0.657
 565: max:0.714, min:0.536, mean:0.652
 566: max:0.714, min:0.536, mean:0.649
 567: max:0.714, min:0.536, mean:0.649
 568: max:0.714, min:0.536, mean:0.651
 569: max:0.714, min:0.536, mean:0.649
 570: max:0.714, min:0.536, mean:0.652
 571: max:0.714, min:0.571, mean:0.655
 572: max:0.714, min:0.536, mean:0.655
 573: max:0.714, min:0.571, mean:0.656
 574: max:0.714, min:0.571, mean:0.658
 575: max:0.714, min:0.536, mean:0.659
 576: max:0.750, min:0.500, mean:0.652
 577: max:0.714, min:0.536, mean:0.655
 578: max:0.714, min:0.536, mean:0.651
 579: max:0.714, min:0.429, mean:0.641
 580: max:0.714, min:0.536, mean:0.631
 581: max:0.714, min:0.500, mean:0.630
 582: max:0.714, min:0.500, mean:0.625
 583: max:0.714, min:0.500, mean:0.616
 584: max:0.714, min:0.500, mean:0.618
 585: max:0.714, min:0.500, mean:0.617
 586: max:0.714, min:0.536, mean:0.623
 587: max:0.714, min:0.536, mean:0.618
 588: max:0.679, min:0.536, mean:0.616
 589: max:0.679, min:0.500, mean:0.611
 590: max:0.679, min:0.536, mean:0.617
 591: max:0.679, min:0.464, mean:0.609
 592: max:0.679, min:0.500, mean:0.611
 593: max:0.679, min:0.464, mean:0.608
 594: max:0.679, min:0.500, mean:0.605
 595: max:0.679, min:0.500, mean:0.605
 596: max:0.714, min:0.500, mean:0.614
 597: max:0.714, min:0.464, mean:0.618
 598: max:0.679, min:0.464, mean:0.623
 599: max:0.679, min:0.500, mean:0.615
 600: max:0.679, min:0.464, mean:0.610
 601: max:0.679, min:0.500, mean:0.613
 602: max:0.714, min:0.536, mean:0.610
 603: max:0.714, min:0.500, mean:0.614
 604: max:0.714, min:0.500, mean:0.616
 605: max:0.679, min:0.464, mean:0.613
 606: max:0.679, min:0.500, mean:0.617
 607: max:0.679, min:0.536, mean:0.616
 608: max:0.679, min:0.536, mean:0.619
 609: max:0.679, min:0.500, mean:0.610
 610: max:0.714, min:0.464, mean:0.609
 611: max:0.679, min:0.500, mean:0.611
 612: max:0.679, min:0.500, mean:0.605
 613: max:0.679, min:0.500, mean:0.601
 614: max:0.679, min:0.464, mean:0.606
 615: max:0.679, min:0.500, mean:0.608
 616: max:0.679, min:0.500, mean:0.612
 617: max:0.679, min:0.464, mean:0.618
 618: max:0.679, min:0.536, mean:0.620
 619: max:0.679, min:0.500, mean:0.618
 620: max:0.679, min:0.536, mean:0.624
 621: max:0.679, min:0.536, mean:0.623
 622: max:0.679, min:0.536, mean:0.624
 623: max:0.714, min:0.500, mean:0.617
 624: max:0.714, min:0.464, mean:0.613
 625: max:0.714, min:0.500, mean:0.610
 626: max:0.714, min:0.500, mean:0.614
 627: max:0.714, min:0.500, mean:0.611
 628: max:0.679, min:0.500, mean:0.613
 629: max:0.679, min:0.500, mean:0.615
 630: max:0.679, min:0.500, mean:0.621
 631: max:0.679, min:0.500, mean:0.620
 632: max:0.679, min:0.500, mean:0.616
 633: max:0.714, min:0.500, mean:0.617
 634: max:0.714, min:0.500, mean:0.626
 635: max:0.714, min:0.536, mean:0.621
 636: max:0.679, min:0.536, mean:0.619
